sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500101223,YouBike2.0_樂利路101巷口,大安區,樂利路97號前,25.02528,121.55224,13,8,2,1,2026-09-25 21:42:02
500101224,YouBike2.0_羅斯福浦城街口,大安區,羅斯福路三段117號前,25.02208,121.52678,25,17,8,1,2026-09-25 21:42:02
500101225,YouBike2.0_敦化南路一段295巷口,大安區,敦化南路一段295巷1號,25.03551,121.54951,18,11,7,1,2026-09-25 21:42:02
500101226,YouBike2.0_通安區民活動中心,大安區,通安街129號對面,25.02942,121.55294,24,9,14,1,2026-09-25 21:42:02
500101227,YouBike2.0_復興忠孝東路口(東南側),大安區,復興南路一段191號前,25.04061,121.54389,28,16,12,1,2026-09-25 21:42:02
500101228,YouBike2.0_仁愛大安路口(東北側),大安區,仁愛路四段37號前,25.03813,121.54631,21,11,10,1,2026-09-25 21:42:02
500101229,YouBike2.0_臺灣師範大學(浦城街),大安區,浦城街1號對側,25.02476,121.52803,20,15,4,1,2026-09-25 21:42:02
500101230,YouBike2.0_安和路二段69巷口,大安區,安和路二段/安和路二段69巷,25.03056,121.55252,20,1,19,1,2026-09-25 21:42:02
500101231,YouBike2.0_大安國小,大安區,臥龍街131巷11弄與樂業街108巷口,25.02014,121.55084,25,24,1,1,2026-09-25 21:42:02
500101232,YouBike2.0_捷運古亭站(3號出口),大安區,羅斯福路二段81-1號前,25.02572,121.52359,15,0,15,1,2026-09-25 21:42:16
500101233,YouBike2.0_捷運忠孝復興站(3號出口),大安區,忠孝東路四段48號前,25.04152,121.54414,37,1,36,1,2026-09-25 21:42:02
500101234,YouBike2.0_和平東路二段90巷,大安區,和平東路二段90巷/和平東路二段76巷5弄,25.02468,121.53965,20,8,12,1,2026-09-25 21:42:02
500101235,YouBike2.0_光復南路420巷口,大安區,光復南路438號,25.03601,121.55742,16,11,5,1,2026-09-25 21:42:02
500101236,YouBike2.0_富陽臥龍街口,大安區,富陽街129號前,25.0187,121.55688,18,2,16,1,2026-09-25 21:42:02
